,created_at,field1,email,phone,message
31,2018-04-18 03:58:02,"2018/04/18,10:31:43,18.750,0.08104,-0.83037,4.87400,8.08727,306.22198,14.68610,33.57120,4.03,83.36",undefined,undefined,undefined
32,2018-04-18 04:30:33,"2018/04/18,11:02:22,18.750,0.08126,-0.83010,4.70700,8.09073,306.38800,14.72930,33.58200,4.03,83.36",undefined,undefined,undefined
33,2018-04-18 05:34:50,"2018/04/18,12:30:25,18.740,0.08003,-0.83135,4.46200,8.07015,299.53000,14.57470,33.57320,4.05,83.36",undefined,undefined,undefined
34,2018-04-18 06:11:02,"2018/04/18,13:00:25,18.740,0.07994,-0.83142,4.31600,8.06858,298.67499,14.59120,33.57180,4.04,83.03",undefined,undefined,undefined
35,2018-04-18 07:14:20,"2018/04/18,14:00:25,18.730,0.08059,-0.83072,4.27000,8.07899,300.24701,14.74380,33.57040,4.04,83.03",undefined,undefined,undefined
36,2018-04-18 07:47:32,"2018/04/18,14:30:25,18.720,0.08051,-0.83078,4.26000,8.07730,299.85999,14.75640,33.54910,4.04,83.03",undefined,undefined,undefined
37,2018-04-18 08:19:23,"2018/04/18,15:00:25,18.720,0.08130,-0.82991,4.31000,8.09001,301.26801,14.90030,33.57250,4.04,83.03",undefined,undefined,undefined
38,2018-04-18 08:49:50,"2018/04/18,15:30:25,18.710,0.08046,-0.83076,4.36100,8.07563,298.64700,14.81350,33.55800,4.03,83.03",undefined,undefined,undefined
39,2018-04-18 09:21:05,"2018/04/18,16:00:25,18.710,0.07959,-0.83180,4.51800,8.06364,306.64600,14.12500,33.61710,4.04,83.03",undefined,undefined,undefined
40,2018-04-18 09:52:54,"2018/04/18,16:30:25,18.700,0.07751,-0.83436,4.68700,8.03479,308.49100,13.12990,33.59720,4.04,83.03",undefined,undefined,undefined
41,2018-04-18 10:54:12,"2018/04/18,17:30:25,18.690,0.07833,-0.83380,5.03900,8.05146,302.07101,13.29470,33.58970,4.04,83.03",undefined,undefined,undefined
42,2018-04-18 11:25:37,"2018/04/18,18:00:25,18.690,0.07893,-0.83320,5.13800,8.06125,300.76999,13.43220,33.59560,4.04,83.03",undefined,undefined,undefined
43,2018-04-18 11:56:04,"2018/04/18,18:30:27,18.680,0.07970,-0.83236,5.29000,8.07342,301.77499,13.63140,33.58310,4.04,83.03",undefined,undefined,undefined
44,2018-04-18 12:26:52,"2018/04/18,19:00:54,18.680,0.07998,-0.83201,5.34000,8.07761,305.09299,13.69790,33.58760,4.04,83.03",undefined,undefined,undefined
45,2018-04-18 12:59:25,"2018/04/18,19:31:41,18.680,0.08015,-0.83182,5.31700,8.08015,306.23001,13.71370,33.59710,4.04,83.03",undefined,undefined,undefined
46,2018-04-18 13:31:52,"2018/04/18,20:30:25,18.680,0.08109,-0.83073,5.25200,8.09519,313.29199,13.88610,33.58890,4.04,82.87",undefined,undefined,undefined
47,2018-04-18 14:06:00,"2018/04/18,21:00:25,18.670,0.08088,-0.83093,5.17800,8.09109,311.99200,13.88640,33.58910,4.04,82.87",undefined,undefined,undefined
48,2018-04-18 14:36:27,"2018/04/18,21:30:25,18.670,0.08100,-0.83079,5.07900,8.09313,312.13101,13.91450,33.59070,4.03,82.87",undefined,undefined,undefined
49,2018-04-18 15:07:04,"2018/04/18,22:00:25,18.660,0.08198,-0.82973,4.98100,8.10920,320.67899,14.14610,33.57960,4.03,82.87",undefined,undefined,undefined
50,2018-04-18 16:39:12,"2018/04/18,23:30:25,18.650,0.08258,-0.82875,4.73400,8.11400,328.89700,14.79800,33.58270,4.03,82.87",undefined,undefined,undefined
51,2018-04-18 17:12:42,"2018/04/19,00:00:25,18.650,0.08194,-0.82938,4.68200,8.10295,323.98099,14.55660,33.59880,4.04,82.70",undefined,undefined,undefined
52,2018-04-18 17:43:09,"2018/04/19,00:30:25,18.650,0.08252,-0.82872,4.68000,8.11205,326.82199,14.82610,33.57670,4.03,82.70",undefined,undefined,undefined
53,2018-04-18 18:16:55,"2018/04/19,01:00:25,18.640,0.08226,-0.82897,4.65800,8.10772,326.02701,14.75210,33.58980,4.03,82.70",undefined,undefined,undefined
54,2018-04-18 18:48:48,"2018/04/19,01:30:25,18.640,0.08247,-0.82877,4.70100,8.11130,327.09601,14.77570,33.58940,4.03,82.70",undefined,undefined,undefined
55,2018-04-18 19:22:58,"2018/04/19,02:00:25,18.630,0.08295,-0.82822,4.75500,8.11850,331.61700,14.97240,33.59020,4.04,82.70",undefined,undefined,undefined
56,2018-04-18 20:24:30,"2018/04/19,03:00:25,18.630,0.08291,-0.82819,4.98100,8.11664,333.54800,15.02540,33.56760,4.03,82.70",undefined,undefined,undefined
57,2018-04-18 20:56:22,"2018/04/19,03:30:25,18.620,0.08210,-0.82899,5.11200,8.10249,325.25800,15.00740,33.58550,4.03,82.54",undefined,undefined,undefined
58,2018-04-18 21:29:01,"2018/04/19,04:01:12,18.620,0.08154,-0.82957,5.29300,8.09321,316.42599,14.88370,33.60210,4.03,82.54",undefined,undefined,undefined
59,2018-04-18 22:33:44,"2018/04/19,05:30:25,18.610,0.08263,-0.82866,5.69000,8.11419,318.53101,14.68320,33.59600,4.03,82.38",undefined,undefined,undefined
