created_at,entry_id,field1
2018-04-16 14:44:02 UTC,652,"1900/01/04,16:30:00,17.330,0.06447,-0.84772,-0.51300,7.73895,161.63800,22.12180,0.01080,3.76,40.46"
2018-04-16 15:14:31 UTC,653,"1900/01/04,17:00:00,17.330,0.06441,-0.84775,-0.50800,7.73772,159.40401,22.18160,0.01080,3.76,40.11"
2018-04-16 15:45:59 UTC,654,"1900/01/04,17:30:00,17.330,0.06432,-0.84781,-0.50900,7.73594,157.32899,22.17300,0.01080,3.76,39.75"
2018-04-16 16:16:24 UTC,655,"1900/01/04,18:00:00,17.330,0.06420,-0.84791,-0.51400,7.73351,155.57800,22.23040,0.01090,3.76,39.75"
2018-04-16 16:47:31 UTC,656,"1900/01/04,18:30:00,17.330,0.06411,-0.84793,-0.53900,7.73151,154.06000,22.33590,0.01090,3.76,39.75"
2018-04-16 17:17:59 UTC,657,"1900/01/04,19:00:00,17.330,0.06398,-0.84810,-0.52400,7.72894,155.50700,22.26830,0.01090,3.76,39.38"
2018-04-16 17:30:42 UTC,658,"1900/01/04,19:30:00,17.330,0.06382,-0.84835,-0.54100,7.72639,157.70200,22.25490,0.01090,3.99,76.51"
2018-04-16 18:02:26 UTC,659,"1900/01/04,20:00:00,17.330,0.06358,-0.84857,-0.50700,7.72253,159.61200,22.24330,0.01090,3.99,89.75"
2018-04-16 18:35:14 UTC,660,"1900/01/04,20:30:00,17.330,0.06346,-0.84877,-0.53500,7.72059,164.05299,22.19740,0.01090,4.06,82.38"
2018-04-16 19:07:01 UTC,661,"1900/01/04,21:00:00,17.330,0.06327,-0.84901,-0.54500,7.71772,165.95200,21.94510,0.01080,4.08,85.05"
2018-04-16 19:38:36 UTC,662,"1900/01/04,21:30:00,17.330,0.06321,-0.84911,-0.51700,7.71748,166.49800,22.09590,0.01080,4.09,86.78"
2018-04-16 20:10:34 UTC,663,"1900/01/04,22:00:00,17.330,0.06317,-0.84903,-0.52200,7.71626,169.49699,22.17850,0.01090,4.10,87.93"
2018-04-16 20:42:19 UTC,664,0
2018-04-16 21:14:14 UTC,665,"1900/01/04,23:00:00,17.330,0.06348,-0.84905,-0.50800,7.72208,159.43300,21.75560,0.01070,4.11,90.22"
2018-04-16 21:45:51 UTC,666,"1900/01/04,23:30:00,17.330,0.06366,-0.84888,-0.54300,7.72578,157.81700,21.66380,0.01070,4.09,89.59"
2018-04-16 22:17:27 UTC,667,"1900/01/05,00:00:00,17.330,0.06384,-0.84903,-0.53200,7.73054,163.55000,21.22480,0.01050,4.08,87.49"
2018-04-17 17:46:05 UTC,668,"2018/04/17,17:44:09,18.860,0.06528,-0.84430,-0.43100,7.74156,270.66501,19.69270,0.00980,4.05,83.85"
2018-04-17 18:19:11 UTC,669,"2018/04/17,18:00:25,18.870,0.06541,-0.84328,-0.42200,7.72653,266.28201,21.17430,0.01040,4.05,84.62"
2018-04-17 18:49:40 UTC,670,"2018/04/17,18:30:25,18.860,0.07985,-0.83308,5.33600,8.05349,328.51599,13.43740,33.55860,4.05,84.77"
