"Current time"	2020/01/22 15:05:23
#0000011	2020/01/22 20:30:25	18.79	 1.32833	0.077388	-0.876749	 5.75	15.85	15.070	 4.669	8.596990	   -inf	 0.0000	 1.0886	4835	496	305.489	97.506	15.241	  15.2404	  4.07497	  32.8282
#0000012	2020/01/22 21:00:25	18.78	 1.32754	0.077275	-0.876631	 5.75	15.80	15.091	 4.577	8.594802	   -inf	 0.0000	 1.0860	4835	496	304.529	97.244	15.262	  15.2471	  4.07648	  32.8361
#0000013	2020/01/22 21:30:25	18.78	 1.32693	0.077572	-0.876557	 5.75	15.82	15.107	 4.492	8.599812	   -inf	 0.0000	 1.0885	4835	496	304.095	97.137	15.278	  15.2595	  4.08505	  32.9028
#0000014	2020/01/22 22:00:25	18.78	 1.32715	0.077006	-0.875264	 5.75	15.77	15.101	 4.394	8.589975	   -inf	 0.0000	 1.0888	4835	496	301.467	96.279	15.269	  15.2452	  4.08671	  32.9297
#0000015	2020/01/22 22:30:25	18.77	 1.32688	0.076523	-0.876470	 5.75	15.78	15.109	 4.318	8.581459	   -inf	 0.0000	 1.0707	4835	496	301.336	96.256	15.278	  15.2599	  4.08552	  32.9067
#0000016	2020/01/22 23:00:25	18.77	 1.32654	0.077437	-0.876548	 5.75	15.75	15.118	 4.240	8.597351	   -inf	 0.0000	 1.0896	4835	496	300.762	96.095	15.288	  15.2649	  4.08659	  32.9121
#0000017	2020/01/22 23:30:25	18.77	 1.32602	0.078183	-0.876681	 5.74	15.79	15.132	 4.200	8.610247	   -inf	 0.0000	 1.0385	4835	496	301.798	96.456	15.303	  15.2745	  4.08763	  32.9134
#0000018	2020/01/23 00:00:25	18.76	 1.32609	0.077771	-0.876032	 5.74	15.74	15.130	 4.205	8.603049	   -inf	 0.0000	 0.9916	4835	496	301.019	96.195	15.297	  15.2743	  4.08651	  32.9035
#0000019	2020/01/23 00:30:25	18.76	 1.32605	0.078498	-0.875914	 5.74	15.76	15.131	 4.258	8.615753	   -inf	 0.0000	 1.0776	4835	496	302.263	96.601	15.301	  15.2763	  4.08497	  32.8880
#0000020	2020/01/23 01:00:25	18.76	 1.32523	0.078713	-0.876593	 5.75	15.72	15.152	 4.316	8.619278	   -inf	 0.0000	 1.0058	4835	496	303.954	97.198	15.328	  15.3079	  4.08524	  32.8640
#0000021	2020/01/23 01:30:25	18.75	 1.31853	0.078348	-0.875965	 5.75	15.79	15.331	 4.400	8.611007	   -inf	 0.0000	 1.0822	4835	496	305.100	98.091	15.579	  15.6226	  4.13893	  33.0806
#0000022	2020/01/23 02:00:25	18.75	 1.31624	0.078531	-0.875962	 5.75	15.92	15.392	 4.545	8.613554	   -inf	 0.0000	 0.9906	4835	496	306.729	98.650	15.596	  15.5942	  4.14728	  33.1790
#0000023	2020/01/23 02:30:25	18.74	 1.31473	0.077587	-0.876020	 5.75	15.99	15.432	 4.749	8.596636	   -inf	 0.0000	 1.0922	4835	496	307.646	99.007	15.625	  15.6153	  4.15931	  33.2687
#0000024	2020/01/23 03:00:25	18.74	 1.31412	0.077984	-0.875874	 5.75	15.98	15.449	 4.924	8.603410	   -inf	 0.0000	 0.9894	4835	496	302.685	97.431	15.635	  15.6225	  4.16243	  33.2904
#0000025	2020/01/23 03:30:25	18.74	 1.31431	0.077398	-0.875872	 5.75	16.02	15.443	 5.089	8.593227	   -inf	 0.0000	 1.0599	4835	496	304.921	98.125	15.623	  15.6104	  4.16461	  33.3202
#0000026	2020/01/23 04:00:25	18.74	 1.31442	0.077512	-0.876213	 5.75	15.98	15.440	 5.190	8.595250	   -inf	 0.0000	 1.0706	4835	496	303.404	97.614	15.612	  15.5965	  4.16428	  33.3290
#0000027	2020/01/23 04:30:25	18.73	 1.31488	0.076939	-0.875982	 5.74	16.01	15.428	 5.247	8.585372	   -inf	 0.0000	 1.0651	4835	496	303.989	97.779	15.601	  15.5851	  4.16183	  33.3168
#0000028	2020/01/23 05:00:25	18.73	 1.31498	0.078568	-0.876425	 5.73	15.97	15.426	 5.362	8.613844	   -inf	 0.0000	 1.0807	4835	496	303.816	97.722	15.600	  15.5856	  4.16190	  33.3170
#0000029	2020/01/23 05:30:25	18.72	 1.31502	0.076381	-0.876708	 5.73	16.00	15.425	 5.320	8.575667	   -inf	 0.0000	 1.0394	4835	496	303.357	97.574	15.600	  15.5858	  4.16196	  33.3173
#0000030	2020/01/23 06:00:25	18.72	 1.31540	0.077715	-0.876567	 5.73	15.97	15.414	 5.282	8.599065	   -inf	 0.0000	 1.0671	4835	496	303.722	97.664	15.587	  15.5717	  4.16057	  33.3167
#0000031	2020/01/23 06:30:25	18.72	 1.31537	0.076990	-0.875217	 5.75	15.99	15.415	 5.210	8.586406	   -inf	 0.0000	 1.0287	4835	496	299.369	96.281	15.595	  15.5815	  4.16288	  33.3291
#0000032	2020/01/23 07:00:25	18.71	 1.31546	0.077749	-0.875387	 5.75	15.96	15.413	 5.147	8.599671	   -inf	 0.0000	 0.9453	4835	496	301.380	96.915	15.589	  15.5730	  4.16296	  33.3370
#0000033	2020/01/23 07:30:25	18.71	 1.31546	0.077937	-0.875872	 5.75	15.99	15.413	 5.077	8.602965	   -inf	 0.0000	 1.0904	4835	496	304.638	97.963	15.589	  15.5748	  4.16126	  33.3203
#0000034	2020/01/23 08:00:25	18.71	 1.31539	0.077669	-0.875977	 5.73	15.96	15.415	 5.000	8.598269	   -inf	 0.0000	 0.9468	4835	496	304.208	97.827	15.590	  15.5755	  4.16115	  33.3187
#0000035	2020/01/23 08:30:25	18.70	 1.31550	0.077348	-0.876444	 5.75	15.99	15.412	 4.917	8.592692	   -inf	 0.0000	 1.0693	4835	496	304.642	97.963	15.588	  15.5737	  4.16049	  33.3144
#0000036	2020/01/23 09:00:25	18.70	 1.31544	0.078830	-0.876049	 5.75	15.96	15.413	 4.859	8.618546	   -inf	 0.0000	 1.0551	4835	496	303.904	97.728	15.589	  15.5746	  4.16055	  33.3141
#0000037	2020/01/23 09:30:25	18.70	 1.31543	0.078547	-0.877518	 5.75	15.99	15.413	 4.837	8.613614	   -inf	 0.0000	 1.0896	4835	496	303.386	97.560	15.589	  15.5743	  4.16067	  33.3155
#0000038	2020/01/23 10:00:25	18.69	 1.31592	0.076830	-0.876743	 5.75	15.95	15.401	 4.816	8.583750	   -inf	 0.0000	 0.9796	4835	496	302.857	97.353	15.571	  15.5392	  4.15742	  33.3160
#0000039	2020/01/23 10:30:25	18.69	 1.31833	0.076553	-0.877179	 5.73	15.97	15.336	 4.857	8.579597	   -inf	 0.0000	 1.0914	4835	496	300.430	96.389	15.482	  15.4635	  4.14608	  33.2786
#0000040	2020/01/23 11:00:25	18.68	 1.32163	0.077123	-0.876975	 5.75	15.85	15.248	 4.908	8.590486	   -inf	 0.0000	 1.0965	4835	496	297.706	95.360	15.407	  15.4221	  4.13627	  33.2257
#0000041	2020/01/23 11:30:25	18.68	 1.31995	0.077539	-0.875659	 5.75	15.87	15.293	 4.998	8.597267	   -inf	 0.0000	 1.0877	4835	496	302.250	97.017	15.503	  15.5261	  4.15452	  33.3012
#0000042	2020/01/23 12:00:25	18.68	 1.32357	0.077405	-0.876017	 5.75	15.85	15.197	 5.094	8.595957	   -inf	 0.0000	 0.9463	4835	496	300.506	96.112	15.336	  15.2965	  4.13476	  33.3185
#0000043	2020/01/23 12:30:25	18.67	 1.32459	0.078253	-0.876084	 5.75	15.80	15.170	 5.219	8.611070	   -inf	 0.0000	 1.0139	4835	496	305.776	97.796	15.336	  15.3199	  4.14183	  33.3623
#0000044	2020/01/23 13:00:25	18.67	 1.32400	0.078780	-0.875935	 5.73	15.75	15.185	 5.393	8.620106	   -inf	 0.0000	 0.9646	4835	496	303.972	97.266	15.358	  15.3446	  4.14832	  33.3996
#0000045	2020/01/23 13:30:25	18.66	 1.32483	0.077897	-0.876130	 5.75	15.76	15.163	 5.510	8.604910	   -inf	 0.0000	 0.9599	4835	496	302.309	96.673	15.329	  15.3151	  4.14478	  33.3929
#0000046	2020/01/23 14:00:25	18.66	 1.32520	0.077309	-0.876182	 5.75	15.72	15.153	 5.717	8.594727	   -inf	 0.0000	 0.9624	4835	496	299.837	95.875	15.325	  15.3082	  4.14329	  33.3854
#0000047	2020/01/23 14:30:25	18.66	 1.32548	0.077991	-0.876418	 5.75	15.73	15.146	 5.896	8.606731	   -inf	 0.0000	 1.0890	4835	496	299.968	95.902	15.318	  15.3043	  4.14493	  33.4035
#0000048	2020/01/23 15:00:25	18.65	 1.32611	0.077501	-0.876006	 5.75	15.69	15.129	 5.944	8.598345	   -inf	 0.0000	 1.0655	4835	496	299.484	95.704	15.297	  15.2798	  4.14164	  33.3947
#0000049	2020/01/23 15:30:25	18.65	 1.32674	0.078398	-0.874964	 5.75	15.73	15.112	 5.981	8.614207	   -inf	 0.0000	 0.9904	4835	496	299.205	95.588	15.284	  15.2682	  4.14117	  33.4004
#0000050	2020/01/23 16:00:25	18.65	 1.32699	0.077518	-0.875894	 5.75	15.67	15.106	 6.067	8.598883	   -inf	 0.0000	 1.0818	4835	496	297.347	94.973	15.274	  15.2575	  4.13943	  33.3938
#0000051	2020/01/23 16:30:25	18.64	 1.32743	0.078600	-0.877147	 5.74	15.68	15.094	 6.061	8.617925	   -inf	 0.0000	 0.9970	4835	496	300.179	95.858	15.264	  15.2495	  4.13981	  33.4040
#0000052	2020/01/23 17:00:25	18.64	 1.32756	0.077689	-0.875228	 5.75	15.64	15.090	 5.953	8.602043	   -inf	 0.0000	 1.0112	4835	496	300.162	95.853	15.264	  15.2505	  4.13987	  33.4037
#0000053	2020/01/23 17:30:25	18.64	 1.32739	0.078610	-0.875698	 5.73	15.67	15.095	 5.852	8.618087	   -inf	 0.0000	 1.0276	4835	496	302.771	96.703	15.272	  15.2589	  4.14060	  33.4031
#0000054	2020/01/23 18:00:25	18.63	 1.32670	0.077937	-0.876946	 5.73	15.65	15.113	 5.694	8.606125	   -inf	 0.0000	 1.1137	4835	496	300.834	96.125	15.292	  15.2792	  4.14249	  33.4028
#0000055	2020/01/23 18:30:25	18.63	 1.32632	0.078481	-0.876858	 5.75	15.70	15.123	 5.529	8.615541	   -inf	 0.0000	 1.0357	4835	496	300.769	96.118	15.299	  15.2805	  4.14192	  33.3966
#0000056	2020/01/23 19:00:25	18.63	 1.32691	0.078710	-0.876333	 5.73	15.67	15.108	 5.331	8.619716	   -inf	 0.0000	 1.0025	4835	496	304.316	97.188	15.268	  15.2530	  4.12132	  33.2345
#0000057	2020/01/23 19:30:25	18.62	 1.32733	0.078255	-0.875648	 5.75	15.68	15.097	 5.145	8.611864	   -inf	 0.0000	 1.0203	4835	496	302.912	96.739	15.268	  15.2610	  4.12258	  33.2391
#0000058	2020/01/23 20:00:25	18.62	 1.32683	0.077960	-0.874941	 5.73	15.65	15.110	 4.972	8.606571	   -inf	 0.0000	 1.0260	4835	496	300.833	96.119	15.289	  15.2766	  4.12735	  33.2687
#0000059	2020/01/23 20:30:25	18.62	 1.32540	0.078450	-0.875242	 5.73	15.69	15.148	 4.794	8.614734	   -inf	 0.0000	 0.9970	4835	496	304.697	97.450	15.335	  15.3287	  4.12127	  33.1700
#0000060	2020/01/23 21:00:25	18.61	 1.32554	0.078220	-0.876228	 5.73	15.68	15.144	 4.631	8.610759	   -inf	 0.0000	 1.1093	4835	496	304.742	97.422	15.315	  15.2954	  4.12199	  33.2046
#0000061	2020/01/23 21:30:25	18.61	 1.32429	0.079220	-0.875801	 5.73	15.74	15.177	 4.542	8.627875	   -inf	 0.0000	 0.9584	4835	496	306.936	98.231	15.366	  15.3555	  4.12138	  33.1484
#0000062	2020/01/23 22:00:25	18.61	 1.32337	0.077689	-0.876596	 5.75	15.74	15.202	 4.416	8.600863	   -inf	 0.0000	 1.1063	4835	496	308.166	98.659	15.382	  15.3672	  4.12296	  33.1526
#0000063	2020/01/23 22:30:25	18.60	 1.32259	0.080002	-0.874646	 5.75	15.78	15.223	 4.348	8.641063	   -inf	 0.0000	 0.9559	4835	496	309.890	99.267	15.409	  15.4000	  4.13228	  33.2085
#0000064	2020/01/23 23:00:25	18.60	 1.32132	0.079806	-0.874600	 5.75	15.78	15.256	 4.293	8.637270	   -inf	 0.0000	 0.9724	4835	496	312.536	100.192	15.444	  15.4362	  4.12744	  33.1345
#0000065	2020/01/23 23:30:25	18.60	 1.32147	0.080435	-0.874960	 5.73	15.82	15.253	 4.186	8.648315	   -inf	 0.0000	 0.9593	4835	496	309.916	99.321	15.430	  15.4076	  4.12381	  33.1261
#0000066	2020/01/24 00:00:25	18.59	 1.32105	0.078265	-0.874178	 5.75	15.80	15.264	 4.151	8.610278	   -inf	 0.0000	 1.1070	4835	496	310.432	99.513	15.443	  15.4258	  4.12364	  33.1092
#0000067	2020/01/24 00:30:25	18.59	 1.32096	0.079243	-0.874263	 5.75	15.83	15.266	 4.155	8.627342	   -inf	 0.0000	 0.9912	4835	496	308.844	99.002	15.442	  15.4255	  4.12343	  33.1076
#0000068	2020/01/24 01:00:25	18.59	 1.32127	0.078019	-0.873765	 5.73	15.80	15.258	 4.149	8.606039	   -inf	 0.0000	 0.9906	4835	496	310.080	99.374	15.430	  15.4208	  4.13128	  33.1820
#0000069	2020/01/24 01:30:25	18.58	 1.32140	0.075669	-0.876107	 5.75	15.82	15.254	 4.217	8.565004	   -inf	 0.0000	 1.1069	4835	496	309.544	99.197	15.427	  15.4099	  4.12132	  33.1019
#0000070	2020/01/24 02:00:25	18.58	 1.31646	0.078339	-0.874722	 5.73	15.80	15.386	 4.332	8.610268	   -inf	 0.0000	 0.9796	4835	496	303.079	97.523	15.618	  15.6468	  4.15685	  33.2202
#0000071	2020/01/24 02:30:25	18.58	 1.31404	0.078027	-0.874103	 5.73	15.98	15.451	 4.533	8.604135	   -inf	 0.0000	 1.0880	4835	496	310.743	100.069	15.656	  15.6470	  4.16030	  33.2508
#0000072	2020/01/24 03:00:25	18.57	 1.31455	0.077966	-0.873480	 5.75	15.97	15.437	 4.661	8.603203	   -inf	 0.0000	 1.0823	4835	496	309.737	99.657	15.615	  15.5978	  4.16350	  33.3209
#0000073	2020/01/24 03:30:25	18.57	 1.31476	0.078273	-0.875386	 5.73	15.99	15.432	 4.858	8.608639	   -inf	 0.0000	 1.0579	4835	496	307.204	98.833	15.610	  15.5954	  4.16561	  33.3418
#0000074	2020/01/24 04:00:25	18.57	 1.31523	0.078235	-0.876295	 5.73	15.96	15.419	 4.989	8.608108	   -inf	 0.0000	 1.0895	4835	496	306.596	98.597	15.591	  15.5723	  4.16662	  33.3704
#0000075	2020/01/24 04:30:25	18.56	 1.31607	0.076842	-0.875500	 5.73	15.97	15.396	 5.146	8.584002	   -inf	 0.0000	 1.1060	4835	496	306.201	98.419	15.567	  15.5474	  4.16423	  33.3701
#0000076	2020/01/24 05:00:25	18.56	 1.31740	0.079503	-0.875052	 5.73	15.91	15.361	 5.232	8.630864	   -inf	 0.0000	 0.9758	4835	496	305.333	98.056	15.527	  15.5073	  4.16243	  33.3879
#0000077	2020/01/24 05:30:25	18.56	 1.31810	0.076984	-0.874619	 5.73	15.92	15.342	 5.304	8.587065	   -inf	 0.0000	 1.0546	4835	496	304.742	97.832	15.511	  15.4919	  4.16067	  33.3853
#0000078	2020/01/24 06:00:25	18.55	 1.31866	0.078570	-0.874946	 5.73	15.88	15.327	 5.326	8.614917	   -inf	 0.0000	 1.0225	4835	496	304.341	97.679	15.499	  15.4816	  4.15980	  33.3862
#0000079	2020/01/24 06:30:25	18.55	 1.31886	0.077976	-0.874158	 5.75	15.90	15.322	 5.301	8.604609	   -inf	 0.0000	 1.0030	4835	496	305.804	98.140	15.495	  15.4810	  4.15982	  33.3869
#0000080	2020/01/24 07:00:25	18.55	 1.31904	0.077194	-0.876923	 5.73	15.86	15.317	 5.218	8.590986	   -inf	 0.0000	 1.1569	4835	496	302.080	96.937	15.491	  15.4748	  4.16174	  33.4094
#0000081	2020/01/24 07:30:25	18.54	 1.31929	0.076162	-0.876200	 5.75	15.89	15.311	 5.134	8.573024	   -inf	 0.0000	 1.1536	4835	496	304.974	97.848	15.483	  15.4604	  4.16046	  33.4102
#0000082	2020/01/24 08:00:25	18.54	 1.31927	0.078058	-0.876449	 5.75	15.85	15.311	 5.047	8.606153	   -inf	 0.0000	 1.1596	4835	496	304.469	97.697	15.488	  15.4699	  4.16058	  33.4032
#0000083	2020/01/24 08:30:25	18.54	 1.31972	0.077032	-0.876108	 5.73	15.88	15.299	 4.980	8.588351	   -inf	 0.0000	 1.1606	4835	496	302.843	97.140	15.471	  15.4550	  4.15946	  33.4058
#0000084	2020/01/24 09:00:25	18.54	 1.32019	0.076602	-0.873735	 5.73	15.83	15.287	 4.924	8.580976	   -inf	 0.0000	 1.0945	4835	496	302.352	96.955	15.458	  15.4424	  4.15658	  33.3906
#0000085	2020/01/24 09:30:25	18.53	 1.32026	0.077539	-0.876202	 5.75	15.83	15.285	 4.867	8.597364	   -inf	 0.0000	 1.0989	4835	496	301.839	96.791	15.458	  15.4432	  4.15746	  33.3979
#0000086	2020/01/24 10:00:25	18.53	 1.32056	0.074454	-0.876015	 5.75	15.82	15.277	 4.809	8.543548	   -inf	 0.0000	 1.1655	4835	496	301.430	96.647	15.452	  15.4364	  4.15507	  33.3822
#0000087	2020/01/24 10:30:25	18.53	 1.32046	0.075596	-0.876297	 5.75	15.85	15.279	 4.787	8.563472	   -inf	 0.0000	 1.1664	4835	496	301.180	96.577	15.457	  15.4420	  4.15478	  33.3749
#0000088	2020/01/24 11:00:25	18.52	 1.32055	0.075779	-0.876797	 5.75	15.82	15.277	 4.823	8.566687	   -inf	 0.0000	 1.1694	4835	496	299.541	96.050	15.456	  15.4418	  4.15813	  33.4051
#0000089	2020/01/24 11:30:25	18.52	 1.32054	0.077017	-0.875756	 5.75	15.85	15.277	 4.881	8.588326	   -inf	 0.0000	 1.0968	4835	496	301.748	96.752	15.453	  15.4376	  4.15461	  33.3771
#0000090	2020/01/24 12:00:25	18.52	 1.32084	0.074355	-0.877295	 5.75	15.81	15.269	 4.946	8.541884	   -inf	 0.0000	 1.0996	4835	496	301.019	96.505	15.447	  15.4417	  4.15422	  33.3701
#0000091	2020/01/24 12:30:25	18.51	 1.32496	0.074676	-0.878402	 5.75	15.84	15.160	 5.058	8.548634	   -inf	 0.0000	 1.0991	4835	496	302.942	96.791	15.289	  15.2466	  4.13836	  33.3935
#0000092	2020/01/24 13:00:25	18.51	 1.32646	0.076617	-0.877027	 5.73	15.69	15.120	 5.220	8.582985	   -inf	 0.0000	 1.1065	4835	496	303.608	96.988	15.281	  15.2654	  4.14298	  33.4191
#0000093	2020/01/24 13:30:25	18.51	 1.32676	0.077513	-0.876273	 5.75	15.70	15.112	 5.373	8.598743	   -inf	 0.0000	 1.1036	4835	496	303.643	97.001	15.282	  15.2668	  4.14452	  33.4318
#0000094	2020/01/24 14:00:25	18.51	 1.32686	0.076282	-0.876102	 5.75	15.67	15.109	 5.503	8.577243	   -inf	 0.0000	 1.1083	4835	496	300.856	96.113	15.283	  15.2681	  4.14210	  33.4088
#0000095	2020/01/24 14:30:25	18.50	 1.32714	0.075977	-0.876902	 5.73	15.69	15.102	 5.676	8.571986	   -inf	 0.0000	 1.1401	4835	496	298.666	95.400	15.276	  15.2610	  4.14181	  33.4123
#0000096	2020/01/24 15:00:25	18.50	 1.32750	0.075000	-0.878064	 5.73	15.65	15.092	 5.837	8.555000	   -inf	 0.0000	 1.1813	4835	496	297.209	94.910	15.264	  15.2492	  4.14069	  33.4122
#0000097	2020/01/24 15:30:25	18.50	 1.32825	0.074552	-0.878398	 5.73	15.63	15.072	 5.987	8.547390	   -inf	 0.0000	 1.1843	4835	496	298.280	95.203	15.240	  15.2245	  4.13990	  33.4262
#0000098	2020/01/24 16:00:25	18.49	 1.32855	0.075064	-0.877869	 5.75	15.61	15.064	 6.017	8.556412	   -inf	 0.0000	 1.1847	4835	496	296.232	94.541	15.236	  15.2217	  4.13937	  33.4237
#0000099	2020/01/24 16:30:25	18.49	 1.32854	0.074049	-0.877417	 5.75	15.64	15.064	 6.072	8.538671	   -inf	 0.0000	 1.1828	4835	496	297.829	95.059	15.240	  15.2283	  4.14101	  33.4329
#0000100	2020/01/24 17:00:25	18.49	 1.32850	0.074676	-0.876710	 5.75	15.61	15.066	 6.049	8.549608	   -inf	 0.0000	 1.1863	4835	496	298.591	95.303	15.241	  15.2278	  4.14108	  33.4341
#0000101	2020/01/24 17:30:25	18.48	 1.32811	0.073325	-0.878069	 5.73	15.65	15.076	 5.989	8.525890	   -inf	 0.0000	 1.1820	4835	496	298.154	95.196	15.257	  15.2470	  4.14282	  33.4333
#0000102	2020/01/24 18:00:25	18.48	 1.32768	0.075014	-0.877528	 5.73	15.63	15.087	 5.905	8.555308	   -inf	 0.0000	 1.1832	4835	496	299.344	95.592	15.264	  15.2538	  4.14417	  33.4397
#0000103	2020/01/24 18:30:25	18.48	 1.32736	0.075229	-0.877421	 5.73	15.67	15.096	 5.697	8.558961	   -inf	 0.0000	 1.1835	4835	496	300.218	95.889	15.273	  15.2578	  4.14396	  33.4344
#0000104	2020/01/24 19:00:25	18.48	 1.32630	0.074706	-0.877068	 5.73	15.65	15.124	 5.542	8.549532	   -inf	 0.0000	 1.1855	4835	496	301.996	96.538	15.312	  15.2997	  4.13890	  33.3531
#0000105	2020/01/24 19:30:25	18.47	 1.32469	0.074939	-0.877837	 5.73	15.71	15.167	 5.360	8.553161	   -inf	 0.0000	 1.1810	4835	496	304.996	97.609	15.366	  15.3685	  4.13838	  33.2900
#0000106	2020/01/24 20:00:25	18.47	 1.32148	0.075531	-0.876683	 5.73	15.73	15.252	 5.214	8.562608	   -inf	 0.0000	 1.1792	4835	496	311.287	99.823	15.459	  15.4612	  4.14740	  33.2923
#0000107	2020/01/24 20:30:25	18.47	 1.31963	0.076434	-0.875300	 5.75	15.82	15.301	 4.984	8.577872	   -inf	 0.0000	 1.1754	4835	496	309.576	99.367	15.503	  15.4998	  4.14618	  33.2488
#0000108	2020/01/24 21:00:25	18.46	 1.31926	0.075009	-0.876080	 5.75	15.85	15.311	 4.832	8.552872	   -inf	 0.0000	 1.1753	4835	496	307.214	98.611	15.504	  15.5179	  4.14542	  33.2267
#0000109	2020/01/24 21:30:25	18.46	 1.31591	0.075398	-0.875862	 5.75	15.94	15.401	 4.629	8.558737	   -inf	 0.0000	 1.1695	4835	496	314.570	101.176	15.598	  15.5863	  4.15597	  33.2633
#0000110	2020/01/24 22:00:25	18.46	 1.31689	0.072549	-0.877088	 5.73	15.91	15.375	 4.542	8.509251	   -inf	 0.0000	 1.1708	4835	496	308.320	99.058	15.547	  15.5263	  4.14650	  33.2292
#0000111	2020/01/24 22:30:25	18.45	 1.31526	0.075380	-0.877143	 5.75	15.96	15.418	 4.425	8.558240	   -inf	 0.0000	 1.1681	4835	496	312.124	100.418	15.611	  15.6036	  4.14535	  33.1539
#0000112	2020/01/24 23:00:25	18.45	 1.31491	0.074614	-0.877341	 5.75	15.94	15.427	 4.328	8.544769	   -inf	 0.0000	 1.1690	4835	496	311.839	100.320	15.608	  15.5934	  4.14938	  33.1984
#0000113	2020/01/24 23:30:25	18.45	 1.31477	0.076309	-0.876033	 5.75	15.98	15.431	 4.264	8.574327	   -inf	 0.0000	 1.1692	4835	496	312.182	100.432	15.609	  15.5913	  4.15074	  33.2123
#0000114	2020/01/25 00:00:25	18.45	 1.31446	0.074970	-0.877667	 5.73	15.96	15.440	 4.195	8.550858	   -inf	 0.0000	 1.1682	4835	496	312.772	100.651	15.623	  15.6154	  4.15265	  33.2091
#0000115	2020/01/25 00:30:25	18.44	 1.31368	0.075839	-0.877173	 5.73	16.00	15.460	 4.130	8.565822	   -inf	 0.0000	 1.1672	4835	496	312.726	100.688	15.646	  15.6350	  4.15021	  33.1708
#0000116	2020/01/25 01:00:25	18.44	 1.31379	0.076758	-0.876122	 5.73	15.98	15.457	 4.115	8.581895	   -inf	 0.0000	 1.1683	4835	496	313.358	100.861	15.632	  15.6120	  4.15269	  33.2123
#0000117	2020/01/25 01:30:25	18.44	 1.31370	0.073100	-0.876502	 5.73	16.02	15.460	 4.179	8.517996	   -inf	 0.0000	 1.1688	4835	496	312.340	100.544	15.637	  15.6199	  4.15211	  33.2005
