"Current time"	2020/01/22 15:05:23
"First sample"	1900/01/01 00:01:52
"Time zone"	GMT
"File name"	ahl0122.txt
"User initials"	tw
"Sampling period (s)"	1800
"pH Sample average"	10
"Pump on time (s)"	25
"Low battery voltage (V)"	10.500000
"TCOffset"	0.000000
"Eo_int_25C"	-0.425195
"Eo_ext_25C"	-1.395657
"Default salinity (ppt)"	nan
"Sensor name"	SP059
"DuraFET SN"	1929Y200000088257
"CAP adapter SN"	Y200000070218
"ISE SN"	UU1-11140
"MicroCAT SN"	37-10034
"Pump SN"	05-7206
"Pressure sensor full-scale (psi)"	100
"Vint gain"	1
"Vint sample rate (sps)"	5
"Deploy mode (pump on)"

"Sample #"	"Sample Time"	"Main Batt"	"Vtherm"	"Vint"	"Vext Ref"	"Iso Batt"	"Controller Temp"	"pH Temp"	"Pressure (dBar)"	"pH Int"	"pH Ext"	"Counter Leak"	"Substrate Leak"	"P/N"	"S/N"	"Oxygen uM"	"O2 Sat"	"Optode Temp"	"SBE Temp"	"Conductivity"	"Salinity"	
#0000000	2020/01/22 15:05:50	18.82	 1.05022	0.040843	-0.908085	 5.77	24.13	23.028	-0.613	7.893261	   -inf	 0.0000	 0.4755	4835	496	162.171	60.743	23.160	  22.9131	  0.00010	   0.0111
#0000001	2020/01/22 15:30:25	18.82	 1.04959	0.040713	-0.908972	 5.77	23.75	23.048	-0.591	7.890900	   -inf	 0.0000	 0.4774	4835	496	145.349	54.412	23.130	  22.8250	  0.00010	   0.0111
#0000002	2020/01/22 16:00:25	18.82	 1.07007	0.042860	-0.908436	 5.78	22.78	22.414	-0.544	7.932524	   -inf	 0.0000	 0.5226	4835	496	143.580	52.541	21.943	  20.9760	  0.00011	   0.0103
#0000003	2020/01/22 16:30:25	18.82	 1.10788	0.047531	-0.902161	 5.78	21.71	21.267	-0.485	8.021770	   -inf	 0.0000	 0.5750	4835	496	267.091	95.521	20.767	  14.3597	  0.08305	   0.5194
#0000004	2020/01/22 17:00:25	18.80	 1.28297	0.076189	-0.877110	 5.75	18.48	16.287	 5.690	8.563299	   -inf	 0.0000	 0.8463	4835	496	297.431	95.546	15.541	  15.1920	  4.13074	  33.3712
#0000005	2020/01/22 17:30:25	18.80	 1.31130	0.076442	-0.877211	 5.74	16.99	15.524	 5.580	8.575678	   -inf	 0.0000	 1.0047	4835	496	296.794	94.871	15.310	  15.1938	  4.13060	  33.3685
#0000006	2020/01/22 18:00:25	18.80	 1.32061	0.075761	-0.877501	 5.75	16.45	15.275	 5.429	8.566392	   -inf	 0.0000	 1.0597	4835	496	297.221	94.912	15.264	  15.2027	  4.13064	  33.3613
#0000007	2020/01/22 18:30:25	18.80	 1.32517	0.076466	-0.877019	 5.74	16.24	15.154	 5.283	8.579984	   -inf	 0.0000	 1.0786	4835	496	303.084	96.709	15.227	  15.1874	  4.12282	  33.3037
#0000008	2020/01/22 19:00:25	18.80	 1.32883	0.077525	-0.877355	 5.74	16.03	15.057	 5.081	8.599530	   -inf	 0.0000	 1.0833	4835	496	301.774	96.151	15.160	  15.1182	  4.08669	  33.0365
#0000009	2020/01/22 19:30:25	18.79	 1.32979	0.077241	-0.877382	 5.75	15.95	15.031	 4.944	8.594831	   -inf	 0.0000	 1.0855	4835	496	301.593	96.105	15.165	  15.1425	  4.08182	  32.9721
#0000010	2020/01/22 20:00:25	18.79	 1.32974	0.077141	-0.876957	 5.75	15.85	15.033	 4.828	8.593071	   -inf	 0.0000	 1.0897	4835	496	302.208	96.344	15.186	  15.1704	  4.08255	  32.9551
