"Current time"	2018/04/17 17:43:42
#0000023	2018/04/18 05:00:25	18.80	 1.36234	0.079698	-0.831964	 5.75	14.88	14.174	 5.777	8.067296	8.618326	 0.0000	 1.1190	4835	496	316.150	98.730	14.236	  14.2463	  4.06003	  33.5404
#0000024	2018/04/18 05:30:25	18.79	 1.36925	0.078836	-0.832943	 5.75	14.76	13.993	 5.898	8.053741	8.603229	 0.0000	 1.1224	4835	496	305.097	94.835	14.024	  13.9647	  4.03656	  33.5687
#0000025	2018/04/18 06:00:25	18.79	 1.37546	0.078627	-0.833253	 5.73	14.63	13.831	 6.031	8.051488	8.599669	 0.0000	 1.1301	4835	496	301.802	93.476	13.862	  13.8250	  4.02184	  33.5541
#0000026	2018/04/18 06:30:25	18.78	 1.37973	0.078412	-0.833534	 5.73	14.52	13.720	 5.974	8.048682	8.596004	 0.0000	 1.1340	4835	496	300.012	92.717	13.762	  13.7081	  4.01289	  33.5731
#0000027	2018/04/18 07:00:25	18.78	 1.38499	0.077884	-0.834134	 5.73	14.46	13.584	 5.881	8.040585	8.587041	 0.0000	 1.1373	4835	496	294.540	90.728	13.613	  13.5712	  3.99889	  33.5624
#0000028	2018/04/18 07:30:25	18.78	 1.38911	0.077690	-0.834362	 5.73	14.36	13.477	 5.800	8.038100	8.584257	 0.0000	 1.1418	4835	496	290.990	89.445	13.518	  13.4748	  3.99038	  33.5674
#0000029	2018/04/18 08:00:25	18.77	 1.38386	0.078354	-0.833619	 5.73	14.34	13.613	 5.628	8.048597	8.595752	 0.0000	 1.1454	4835	496	297.685	91.987	13.756	  13.8279	  4.02022	  33.5365
#0000030	2018/04/18 08:30:25	18.77	 1.36967	0.080090	-0.831688	 5.75	14.67	13.982	 5.464	8.075849	8.625381	 0.0000	 1.1336	4835	496	303.470	94.738	14.221	  14.3175	  4.06964	  33.5670
#0000031	2018/04/18 09:00:25	18.76	 1.35642	0.080868	-0.830736	 5.73	15.04	14.329	 5.330	8.086445	8.638044	 0.0000	 1.1222	4835	496	307.327	96.550	14.510	  14.5472	  4.09175	  33.5708
#0000032	2018/04/18 09:30:25	18.76	 1.35147	0.081109	-0.830399	 5.73	15.27	14.459	 5.153	8.089528	8.642435	 0.0000	 1.1161	4835	496	307.942	96.950	14.608	  14.6463	  4.09980	  33.5588
#0000033	2018/04/18 10:01:14	18.75	 1.35060	0.080517	-0.830935	 5.73	15.63	14.482	 5.052	8.078939	8.632771	 0.0000	 1.1132	4835	496	301.990	95.065	14.603	  14.6140	  4.10108	  33.5984
#0000034	2018/04/18 10:31:43	18.75	 1.34726	0.081036	-0.830371	 5.73	15.71	14.570	 4.874	8.087267	8.641622	 0.0000	 1.1116	4835	496	306.222	96.563	14.682	  14.6861	  4.10493	  33.5712
#0000035	2018/04/18 11:02:22	18.75	 1.34551	0.081257	-0.830097	 5.73	15.69	14.616	 4.707	8.090731	8.645902	 0.0000	 1.1098	4835	496	306.388	96.718	14.730	  14.7293	  4.11020	  33.5820
#0000036	2018/04/18 11:35:23	18.74	 1.34413	0.081002	-0.830324	 5.75	15.81	14.652	 4.630	8.085947	8.641496	 0.0000	 1.1072	4835	496	304.780	96.252	14.750	  14.7106	  4.10826	  33.5804
#0000037	2018/04/18 12:00:25	18.74	 1.34842	0.080073	-0.831307	 5.73	15.07	14.539	 4.518	8.070656	8.625586	 0.0000	 1.1131	4835	496	300.918	94.708	14.593	  14.5633	  4.09252	  33.5640
#0000038	2018/04/18 12:30:25	18.74	 1.34915	0.080034	-0.831349	 5.73	15.03	14.520	 4.462	8.070153	8.625079	 0.0000	 1.1143	4835	496	299.530	94.279	14.597	  14.5747	  4.09460	  33.5732
#0000039	2018/04/18 13:00:25	18.74	 1.34911	0.079945	-0.831422	 5.75	15.03	14.521	 4.316	8.068583	8.623793	 0.0000	 1.1151	4835	496	298.675	94.028	14.606	  14.5912	  4.09601	  33.5718
#0000040	2018/04/18 13:30:25	18.73	 1.34846	0.079914	-0.831450	 5.73	15.14	14.538	 4.285	8.067894	8.623096	 0.0000	 1.1107	4835	496	298.501	94.011	14.624	  14.6069	  4.09653	  33.5629
#0000041	2018/04/18 14:00:25	18.73	 1.34504	0.080593	-0.830719	 5.75	15.15	14.628	 4.270	8.078993	8.634858	 0.0000	 1.1109	4835	496	300.247	94.803	14.742	  14.7438	  4.11031	  33.5704
