"Current time"	2018/04/17 17:43:42
#0001517	2018/05/19 08:30:25	17.09	 1.24111	0.089073	-0.824145	 5.72	17.91	17.434	 5.598	8.201645	8.716506	 0.0000	 0.9972	4835	496	297.093	99.474	17.505	  17.4743	  4.38375	  33.6777
#0001518	2018/05/19 09:00:25	17.09	 1.24192	0.088748	-0.824496	 5.72	17.88	17.412	 5.494	8.196209	8.710677	 0.0000	 1.0005	4835	496	294.438	98.560	17.493	  17.4732	  4.38365	  33.6777
#0001519	2018/05/19 09:30:25	17.09	 1.23921	0.088983	-0.824211	 5.72	17.90	17.487	 5.330	8.199602	8.714744	 0.0000	 1.0038	4835	496	295.725	99.233	17.611	  17.6535	  4.40018	  33.6698
#0001520	2018/05/19 10:00:25	17.09	 1.22727	0.088404	-0.824602	 5.71	18.13	17.819	 5.247	8.186551	8.704041	 0.0000	 0.9801	4835	496	290.388	98.302	18.037	  18.1266	  4.44833	  33.6892
#0001521	2018/05/19 10:30:25	17.09	 1.22072	0.088259	-0.824622	 5.73	18.35	18.002	 5.098	8.182383	8.701550	 0.0000	 0.9570	4835	496	285.752	96.938	18.140	  18.1569	  4.45165	  33.6924
#0001522	2018/05/19 11:00:25	17.09	 1.21913	0.088247	-0.824562	 5.73	18.44	18.046	 4.886	8.181777	8.702060	 0.0000	 0.9501	4835	496	285.434	96.846	18.148	  18.1355	  4.44982	  33.6945
#0001523	2018/05/19 11:30:25	17.09	 1.21632	0.087983	-0.824747	 5.73	18.49	18.125	 4.743	8.176492	8.697937	 0.0000	 0.9476	4835	496	282.633	96.074	18.238	  18.2213	  4.46034	  33.7128
#0001524	2018/05/19 12:00:25	17.09	 1.21432	0.088154	-0.824501	 5.72	18.56	18.181	 4.576	8.178946	8.701532	 0.0000	 0.9397	4835	496	281.611	95.829	18.290	  18.2805	  4.46388	  33.6942
#0001525	2018/05/19 12:30:25	17.09	 1.21459	0.088015	-0.824642	 5.71	18.55	18.174	 4.446	8.176605	8.699179	 0.0000	 0.9444	4835	496	283.639	96.482	18.272	  18.2874	  4.46407	  33.6900
#0001526	2018/05/19 13:00:25	17.09	 1.21438	0.087713	-0.824906	 5.72	18.58	18.180	 4.329	8.171326	8.694554	 0.0000	 0.9385	4835	496	281.025	95.595	18.273	  18.2621	  4.46256	  33.6980
#0001527	2018/05/19 13:30:25	17.09	 1.21339	0.087671	-0.824962	 5.73	18.61	18.207	 4.242	8.170349	8.693252	 0.0000	 0.9395	4835	496	278.673	94.871	18.312	  18.3192	  4.46798	  33.6969
#0001528	2018/05/19 14:00:25	17.09	 1.21355	0.087324	-0.825280	 5.72	18.65	18.203	 4.161	8.164388	8.687814	 0.0000	 0.9357	4835	496	276.119	93.952	18.286	  18.2687	  4.46196	  33.6875
#0001529	2018/05/19 14:30:25	17.09	 1.21240	0.087411	-0.825177	 5.72	18.65	18.235	 4.092	8.165605	8.689206	 0.0000	 0.9368	4835	496	275.716	93.914	18.338	  18.3600	  4.46870	  33.6695
#0001530	2018/05/19 15:00:25	17.09	 1.21017	0.087374	-0.825177	 5.72	18.73	18.298	 4.039	8.164410	8.688487	 0.0000	 0.9294	4835	496	276.170	94.169	18.390	  18.3788	  4.47240	  33.6854
#0001531	2018/05/19 15:30:25	17.09	 1.20882	0.087397	-0.825113	 5.71	18.75	18.336	 4.019	8.164460	8.689135	 0.0000	 0.9275	4835	496	274.722	93.765	18.437	  18.4448	  4.47934	  33.6897
#0001532	2018/05/19 16:00:25	17.09	 1.20860	0.087262	-0.825237	 5.73	18.78	18.342	 3.985	8.162070	8.686922	 0.0000	 0.9264	4835	496	273.965	93.483	18.424	  18.4023	  4.47593	  33.6958
#0001533	2018/05/19 16:30:25	17.08	 1.20796	0.087291	-0.825219	 5.72	18.78	18.360	 4.013	8.162406	8.687017	 0.0000	 0.9254	4835	496	273.478	93.370	18.453	  18.4520	  4.48047	  33.6933
#0001534	2018/05/19 17:00:25	17.09	 1.20653	0.087208	-0.825262	 5.74	18.85	18.400	 4.049	8.160620	8.685816	 0.0000	 0.9190	4835	496	274.484	93.793	18.494	  18.4673	  4.48316	  33.7033
#0001535	2018/05/19 17:30:25	17.08	 1.20280	0.087592	-0.824816	 5.72	18.91	18.506	 4.157	8.166300	8.692288	 0.0000	 0.9157	4835	496	276.254	94.654	18.627	  18.6359	  4.50009	  33.7076
#0001536	2018/05/19 18:00:25	17.08	 1.20827	0.087979	-0.824533	 5.73	18.98	18.352	 4.295	8.174383	8.698984	 0.0000	 0.9103	4835	496	282.081	96.142	18.368	  18.2071	  4.45918	  33.7148
#0001537	2018/05/19 18:30:25	17.08	 1.22242	0.089371	-0.823383	 5.73	18.60	17.954	 4.447	8.202063	8.723556	 0.0000	 0.9397	4835	496	289.979	97.897	17.905	  17.7544	  4.41374	  33.7022
#0001538	2018/05/19 19:00:25	17.08	 1.22970	0.089876	-0.823049	 5.71	18.32	17.751	 4.634	8.212669	8.731750	 0.0000	 0.9675	4835	496	301.737	101.566	17.761	  17.6747	  4.40477	  33.6915
#0001539	2018/05/19 19:30:25	17.08	 1.23311	0.090060	-0.822991	 5.73	18.18	17.656	 4.737	8.216717	8.733875	 0.0000	 0.9804	4835	496	304.013	102.207	17.702	  17.6648	  4.40214	  33.6773
#0001540	2018/05/19 20:00:25	17.08	 1.23337	0.090153	-0.822925	 5.73	18.15	17.649	 4.860	8.218403	8.735101	 0.0000	 0.9795	4835	496	303.465	102.069	17.724	  17.7007	  4.40561	  33.6772
#0001541	2018/05/19 20:30:25	17.08	 1.23332	0.090211	-0.822900	 5.73	18.14	17.650	 4.968	8.219391	8.735522	 0.0000	 0.9786	4835	496	306.151	102.987	17.731	  17.7095	  4.40647	  33.6772
#0001542	2018/05/19 21:00:25	17.08	 1.23281	0.090171	-0.822909	 5.71	18.13	17.664	 5.007	8.218575	8.735206	 0.0000	 0.9814	4835	496	306.489	103.151	17.755	  17.7426	  4.40934	  33.6744
#0001543	2018/05/19 21:30:25	17.08	 1.23186	0.090154	-0.822921	 5.72	18.18	17.691	 5.057	8.218039	8.734674	 0.0000	 0.9733	4835	496	306.912	103.354	17.783	  17.7562	  4.41076	  33.6752
#0001544	2018/05/19 22:00:25	17.08	 1.23066	0.090217	-0.822842	 5.71	18.18	17.724	 5.083	8.218817	8.735647	 0.0000	 0.9795	4835	496	307.574	103.667	17.825	  17.8048	  4.41641	  33.6832
#0001545	2018/05/19 22:30:25	17.08	 1.22951	0.089932	-0.823104	 5.73	18.21	17.756	 5.071	8.213594	8.730737	 0.0000	 0.9706	4835	496	307.405	103.663	17.850	  17.8357	  4.41830	  33.6738
#0001546	2018/05/19 23:00:25	17.08	 1.22880	0.090071	-0.822936	 5.71	18.22	17.776	 5.030	8.215809	8.733409	 0.0000	 0.9702	4835	496	306.192	103.294	17.869	  17.8535	  4.41943	  33.6688
#0001547	2018/05/19 23:30:25	17.08	 1.22847	0.090249	-0.822731	 5.73	18.23	17.785	 4.957	8.218811	8.736847	 0.0000	 0.9715	4835	496	307.907	103.885	17.874	  17.8582	  4.41934	  33.6641
#0001548	2018/05/20 00:00:25	17.08	 1.22867	0.090163	-0.822830	 5.72	18.23	17.780	 4.896	8.217379	8.735209	 0.0000	 0.9674	4835	496	307.991	103.884	17.861	  17.8412	  4.41725	  33.6603
#0001549	2018/05/20 00:30:25	17.08	 1.22838	0.090200	-0.822785	 5.72	18.24	17.788	 4.873	8.217950	8.735890	 0.0000	 0.9726	4835	496	307.137	103.625	17.874	  17.8578	  4.41857	  33.6579
#0001550	2018/05/20 01:00:25	17.08	 1.22271	0.089891	-0.822993	 5.73	18.32	17.946	 4.831	8.211135	8.730407	 0.0000	 0.9623	4835	496	303.581	102.904	18.101	  18.1652	  4.44421	  33.6225
#0001551	2018/05/20 01:30:25	17.08	 1.22128	0.089720	-0.823136	 5.71	18.42	17.986	 4.823	8.207816	8.727465	 0.0000	 0.9549	4835	496	303.584	102.867	18.083	  18.0554	  4.43921	  33.6704
#0001552	2018/05/20 02:00:25	17.08	 1.22039	0.089731	-0.823102	 5.73	18.43	18.011	 4.808	8.207785	8.727757	 0.0000	 0.9579	4835	496	302.038	102.407	18.113	  18.1026	  4.44383	  33.6708
#0001553	2018/05/20 02:30:25	17.08	 1.22073	0.089729	-0.823115	 5.73	18.45	18.001	 4.781	8.207828	8.727638	 0.0000	 0.9529	4835	496	302.294	102.421	18.079	  18.0702	  4.43740	  33.6429
#0001554	2018/05/20 03:00:25	17.08	 1.22086	0.089663	-0.823174	 5.73	18.44	17.998	 4.834	8.206727	8.726666	 0.0000	 0.9533	4835	496	301.981	102.317	18.080	  18.0598	  4.43930	  33.6676
#0001555	2018/05/20 03:30:25	17.08	 1.22413	0.089356	-0.823530	 5.73	18.39	17.906	 4.878	8.202235	8.721585	 0.0000	 0.9615	4835	496	298.768	100.965	17.953	  17.8969	  4.42265	  33.6604
#0001556	2018/05/20 04:00:25	17.08	 1.22236	0.089707	-0.823159	 5.73	18.39	17.956	 4.936	8.207859	8.727412	 0.0000	 0.9658	4835	496	299.058	101.291	18.063	  18.0606	  4.43796	  33.6555
#0001557	2018/05/20 04:30:25	17.08	 1.22143	0.089451	-0.823403	 5.72	18.41	17.982	 5.023	8.203196	8.722876	 0.0000	 0.9612	4835	496	300.625	101.846	18.074	  18.0579	  4.43932	  33.6693
#0001558	2018/05/20 05:00:25	17.08	 1.22525	0.090353	-0.822587	 5.72	18.37	17.875	 5.184	8.219788	8.738283	 0.0000	 0.9568	4835	496	301.335	101.735	17.907	  17.8529	  4.41688	  33.6476
#0001559	2018/05/20 05:30:25	17.08	 1.22828	0.090305	-0.822694	 5.73	18.27	17.790	 5.264	8.219744	8.737435	 0.0000	 0.9738	4835	496	301.112	101.534	17.846	  17.8107	  4.41223	  33.6427
#0001560	2018/05/20 06:00:25	17.08	 1.23217	0.090154	-0.822918	 5.72	18.19	17.682	 5.374	8.218114	8.734838	 0.0000	 0.9740	4835	496	302.569	101.769	17.725	  17.6679	  4.39825	  33.6414
#0001561	2018/05/20 06:30:25	17.08	 1.23519	0.089707	-0.823440	 5.73	18.09	17.598	 5.462	8.211142	8.726792	 0.0000	 0.9865	4835	496	302.492	101.588	17.651	  17.6138	  4.39387	  33.6487
#0001562	2018/05/20 07:00:25	17.08	 1.23928	0.089572	-0.823670	 5.72	17.99	17.485	 5.564	8.209839	8.724135	 0.0000	 0.9931	4835	496	299.884	100.462	17.531	  17.4858	  4.38211	  33.6540
#0001563	2018/05/20 07:30:25	17.08	 1.24143	0.089412	-0.823882	 5.73	17.93	17.425	 5.625	8.207603	8.721178	 0.0000	 1.0041	4835	496	299.313	100.184	17.489	  17.4619	  4.37873	  33.6447
#0001564	2018/05/20 08:00:25	17.08	 1.24239	0.089387	-0.823940	 5.73	17.88	17.399	 5.612	8.207414	8.720482	 0.0000	 1.0070	4835	496	298.952	100.024	17.470	  17.4402	  4.37771	  33.6540
#0001565	2018/05/20 08:30:25	17.08	 1.24312	0.089334	-0.824001	 5.73	17.85	17.379	 5.659	8.206670	8.719660	 0.0000	 1.0124	4835	496	298.570	99.882	17.463	  17.4393	  4.37795	  33.6568
#0001566	2018/05/20 09:00:25	17.07	 1.24316	0.089367	-0.823990	 5.73	17.84	17.377	 5.566	8.207264	8.719867	 0.0000	 1.0031	4835	496	297.194	99.425	17.465	  17.4472	  4.37776	  33.6486
#0001567	2018/05/20 09:30:25	17.07	 1.24289	0.089255	-0.824099	 5.73	17.84	17.385	 5.473	8.205256	8.717887	 0.0000	 1.0083	4835	496	295.120	98.755	17.477	  17.4619	  4.37891	  33.6463
#0001568	2018/05/20 10:00:25	17.07	 1.24204	0.089292	-0.824039	 5.72	17.85	17.408	 5.378	8.205673	8.718641	 0.0000	 1.0021	4835	496	294.556	98.626	17.506	  17.4983	  4.38208	  33.6434
#0001569	2018/05/20 10:30:25	17.07	 1.24115	0.089299	-0.823997	 5.72	17.87	17.433	 5.303	8.205568	8.719089	 0.0000	 1.0070	4835	496	294.397	98.626	17.532	  17.5247	  4.38497	  33.6463
#0001570	2018/05/20 11:00:25	17.07	 1.23043	0.088266	-0.824852	 5.73	18.06	17.731	 5.146	8.184956	8.700753	 0.0000	 0.9862	4835	496	285.261	96.405	17.955	  18.0387	  4.43757	  33.6703
#0001571	2018/05/20 11:30:25	17.07	 1.22423	0.088003	-0.825020	 5.73	18.27	17.904	 5.002	8.178836	8.695816	 0.0000	 0.9709	4835	496	280.346	94.939	18.055	  18.0855	  4.44223	  33.6713
#0001572	2018/05/20 12:00:25	17.07	 1.22154	0.087936	-0.825013	 5.73	18.36	17.979	 4.892	8.176990	8.695053	 0.0000	 0.9539	4835	496	279.288	94.646	18.089	  18.0931	  4.44283	  33.6701
#0001573	2018/05/20 12:30:25	17.07	 1.22121	0.087592	-0.825306	 5.73	18.39	17.988	 4.725	8.170957	8.689874	 0.0000	 0.9613	4835	496	277.086	93.886	18.082	  18.0674	  4.44102	  33.6758
#0001574	2018/05/20 13:00:25	17.07	 1.22162	0.087489	-0.825426	 5.72	18.39	17.976	 4.573	8.169287	8.687922	 0.0000	 0.9613	4835	496	275.175	93.229	18.077	  18.0714	  4.44130	  33.6749
#0001575	2018/05/20 13:30:25	17.07	 1.22166	0.087712	-0.825190	 5.71	18.42	17.976	 4.455	8.173149	8.692028	 0.0000	 0.9465	4835	496	275.259	93.218	18.056	  18.0366	  4.43692	  33.6665
#0001576	2018/05/20 14:00:25	17.07	 1.22221	0.087502	-0.825393	 5.71	18.39	17.960	 4.358	8.169659	8.688685	 0.0000	 0.9646	4835	496	275.822	93.379	18.041	  18.0192	  4.43606	  33.6735
#0001577	2018/05/20 14:30:25	17.07	 1.21877	0.087328	-0.825502	 5.73	18.45	18.056	 4.271	8.165775	8.685678	 0.0000	 0.9514	4835	496	273.796	92.964	18.183	  18.1952	  4.45326	  33.6744
#0001578	2018/05/20 15:00:25	17.07	 1.21953	0.087035	-0.825819	 5.71	18.48	18.035	 4.184	8.160902	8.680436	 0.0000	 0.9534	4835	496	270.850	91.830	18.112	  18.0762	  4.44209	  33.6777
#0001579	2018/05/20 15:30:25	17.07	 1.21898	0.087014	-0.825821	 5.72	18.53	18.051	 4.111	8.160397	8.680220	 0.0000	 0.9485	4835	496	269.577	91.446	18.137	  18.1036	  4.44267	  33.6601
#0001580	2018/05/20 16:00:25	17.07	 1.21771	0.086877	-0.825921	 5.73	18.57	18.086	 4.092	8.157701	8.678079	 0.0000	 0.9452	4835	496	268.715	91.199	18.161	  18.1019	  4.44594	  33.6893
#0001581	2018/05/20 16:30:25	17.07	 1.21727	0.086992	-0.825782	 5.71	18.54	18.098	 4.048	8.159584	8.680349	 0.0000	 0.9427	4835	496	267.909	90.973	18.187	  18.2101	  4.45082	  33.6416
#0001582	2018/05/20 17:00:25	17.07	 1.21545	0.086979	-0.825794	 5.71	18.59	18.150	 4.086	8.158898	8.679534	 0.0000	 0.9421	4835	496	268.321	91.216	18.242	  18.2213	  4.45618	  33.6777
#0001583	2018/05/20 17:30:25	17.07	 1.21367	0.086917	-0.825809	 5.71	18.62	18.200	 4.102	8.157372	8.678693	 0.0000	 0.9396	4835	496	267.535	91.051	18.297	  18.2896	  4.46308	  33.6799
#0001584	2018/05/20 18:00:25	17.07	 1.21135	0.086989	-0.825726	 5.73	18.71	18.265	 4.105	8.158034	8.679376	 0.0000	 0.9322	4835	496	268.582	91.524	18.359	  18.3437	  4.46753	  33.6730
#0001585	2018/05/20 18:30:25	17.07	 1.20912	0.086934	-0.825707	 5.73	18.74	18.328	 4.199	8.156536	8.678971	 0.0000	 0.9308	4835	496	268.530	91.644	18.433	  18.4267	  4.47776	  33.6912
#0001586	2018/05/20 19:00:25	17.07	 1.20835	0.086851	-0.825809	 5.73	18.78	18.349	 4.295	8.154895	8.676960	 0.0000	 0.9320	4835	496	267.500	91.307	18.441	  18.4218	  4.47721	  33.6906
#0001587	2018/05/20 19:30:25	17.07	 1.22365	0.089556	-0.823324	 5.73	18.51	17.920	 4.460	8.205585	8.724995	 0.0000	 0.9499	4835	496	285.465	96.340	17.888	  17.7252	  4.40599	  33.6601
#0001588	2018/05/20 20:00:25	17.07	 1.22985	0.090411	-0.822603	 5.72	18.26	17.747	 4.604	8.221981	8.739533	 0.0000	 0.9671	4835	496	301.237	101.421	17.772	  17.7289	  4.40337	  33.6348
#0001589	2018/05/20 20:30:25	17.07	 1.23195	0.090722	-0.822361	 5.72	18.18	17.688	 4.713	8.227907	8.744416	 0.0000	 0.9753	4835	496	304.746	102.545	17.745	  17.7100	  4.40194	  33.6382
#0001590	2018/05/20 21:00:25	17.07	 1.23215	0.090922	-0.822183	 5.73	18.16	17.683	 4.822	8.231424	8.747571	 0.0000	 0.9805	4835	496	307.269	103.433	17.763	  17.7478	  4.40505	  33.6334
#0001591	2018/05/20 21:30:25	17.07	 1.23181	0.091088	-0.822037	 5.73	18.16	17.692	 4.978	8.234214	8.749985	 0.0000	 0.9734	4835	496	308.258	103.800	17.779	  17.7609	  4.40637	  33.6339
#0001592	2018/05/20 22:00:25	17.07	 1.23027	0.091033	-0.822106	 5.73	18.18	17.735	 5.003	8.232854	8.748276	 0.0000	 0.9729	4835	496	308.988	104.171	17.838	  17.8347	  4.41375	  33.6358
#0001593	2018/05/20 22:30:25	17.07	 1.22926	0.091278	-0.821829	 5.72	18.22	17.763	 5.035	8.236835	8.752745	 0.0000	 0.9760	4835	496	310.860	104.849	17.859	  17.8426	  4.41419	  33.6331
#0001594	2018/05/20 23:00:25	17.07	 1.22979	0.090986	-0.822097	 5.73	18.21	17.748	 5.159	8.231915	8.748274	 0.0000	 0.9751	4835	496	309.578	104.349	17.828	  17.8027	  4.41026	  33.6325
#0001595	2018/05/20 23:30:25	17.07	 1.22992	0.091027	-0.822079	 5.73	18.21	17.745	 5.130	8.232667	8.748625	 0.0000	 0.9793	4835	496	309.393	104.290	17.829	  17.8058	  4.41118	  33.6378
#0001596	2018/05/21 00:00:25	17.07	 1.22965	0.090824	-0.822282	 5.73	18.21	17.752	 5.091	8.229069	8.745014	 0.0000	 0.9783	4835	496	307.311	103.615	17.842	  17.8280	  4.41305	  33.6354
#0001597	2018/05/21 00:30:25	17.07	 1.22886	0.090771	-0.822307	 5.72	18.22	17.774	 5.052	8.227958	8.744331	 0.0000	 0.9785	4835	496	306.812	103.500	17.867	  17.8540	  4.41663	  33.6445
#0001598	2018/05/21 01:00:25	17.07	 1.22824	0.090657	-0.822414	 5.72	18.23	17.792	 5.021	8.225820	8.742263	 0.0000	 0.9730	4835	496	306.283	103.359	17.885	  17.8739	  4.41854	  33.6443
#0001599	2018/05/21 01:30:25	17.07	 1.22962	0.091050	-0.822023	 5.72	18.22	17.753	 4.954	8.232979	8.749507	 0.0000	 0.9711	4835	496	309.085	104.178	17.826	  17.7937	  4.41044	  33.6415
#0001600	2018/05/21 02:00:25	17.07	 1.22788	0.090576	-0.822492	 5.73	18.22	17.802	 4.933	8.224327	8.740806	 0.0000	 0.9795	4835	496	306.362	103.447	17.914	  17.9289	  4.42381	  33.6438
#0001601	2018/05/21 02:30:25	17.07	 1.22290	0.090072	-0.822906	 5.71	18.35	17.941	 4.890	8.214316	8.731982	 0.0000	 0.9586	4835	496	300.043	101.661	18.080	  18.0976	  4.44115	  33.6522
#0001602	2018/05/21 03:00:25	17.07	 1.22476	0.090312	-0.822677	 5.73	18.37	17.889	 4.876	8.218957	8.736567	 0.0000	 0.9629	4835	496	299.601	101.243	17.951	  17.8809	  4.41958	  33.6474
#0001603	2018/05/21 03:30:25	17.07	 1.22615	0.090169	-0.822829	 5.73	18.30	17.850	 4.844	8.216831	8.734384	 0.0000	 0.9733	4835	496	298.183	100.704	17.923	  17.8926	  4.42066	  33.6469
#0001604	2018/05/21 04:00:25	17.06	 1.22521	0.090185	-0.822826	 5.73	18.31	17.876	 4.843	8.216873	8.734135	 0.0000	 0.9643	4835	496	298.612	100.948	17.970	  17.9638	  4.42732	  33.6448
#0001605	2018/05/21 04:30:25	17.06	 1.22421	0.090094	-0.822886	 5.72	18.35	17.904	 4.894	8.215033	8.732764	 0.0000	 0.9639	4835	496	298.905	101.106	17.999	  17.9762	  4.42900	  33.6489
#0001606	2018/05/21 05:00:25	17.06	 1.22565	0.089951	-0.823067	 5.73	18.32	17.864	 4.966	8.212939	8.730096	 0.0000	 0.9682	4835	496	296.927	100.308	17.936	  17.9056	  4.42159	  33.6442
#0001607	2018/05/21 05:30:25	17.06	 1.22548	0.089930	-0.823087	 5.71	18.30	17.869	 4.987	8.212528	8.729701	 0.0000	 0.9622	4835	496	296.444	100.195	17.961	  17.9498	  4.42627	  33.6476
#0001608	2018/05/21 06:00:25	17.06	 1.22726	0.089640	-0.823408	 5.73	18.32	17.819	 5.065	8.207953	8.724722	 0.0000	 0.9661	4835	496	294.560	99.398	17.882	  17.8263	  4.41355	  33.6411
#0001609	2018/05/21 06:30:25	17.06	 1.23125	0.089751	-0.823370	 5.72	18.20	17.708	 5.151	8.210901	8.726697	 0.0000	 0.9731	4835	496	293.076	98.647	17.759	  17.7211	  4.40308	  33.6387
#0001610	2018/05/21 07:00:25	17.06	 1.23384	0.089680	-0.823499	 5.71	18.13	17.636	 5.192	8.210328	8.725310	 0.0000	 0.9811	4835	496	293.212	98.557	17.693	  17.6467	  4.39692	  33.6476
#0001611	2018/05/21 07:30:25	17.06	 1.23694	0.089885	-0.823349	 5.73	18.04	17.550	 5.296	8.214665	8.728931	 0.0000	 0.9922	4835	496	296.122	99.360	17.608	  17.5718	  4.38986	  33.6492
#0001612	2018/05/21 08:00:25	17.06	 1.23733	0.089910	-0.823376	 5.72	18.00	17.539	 5.384	8.215195	8.728605	 0.0000	 0.9976	4835	496	296.319	99.460	17.624	  17.6040	  4.39405	  33.6584
#0001613	2018/05/21 08:30:25	17.06	 1.23792	0.089694	-0.823616	 5.73	17.99	17.523	 5.446	8.211597	8.724637	 0.0000	 1.0011	4835	496	296.130	99.352	17.603	  17.5797	  4.39095	  33.6519
#0001614	2018/05/21 09:00:25	17.06	 1.23788	0.089743	-0.823566	 5.72	17.98	17.524	 5.454	8.212444	8.725494	 0.0000	 1.0006	4835	496	295.569	99.184	17.613	  17.5965	  4.39232	  33.6498
#0001615	2018/05/21 09:30:25	17.06	 1.23859	0.090354	-0.822988	 5.72	17.98	17.504	 5.448	8.223224	8.735735	 0.0000	 0.9998	4835	496	300.165	100.665	17.583	  17.5576	  4.38686	  33.6351
#0001616	2018/05/21 10:00:25	17.06	 1.23872	0.090006	-0.823332	 5.73	17.96	17.500	 5.447	8.217211	8.729823	 0.0000	 0.9942	4835	496	300.330	100.730	17.588	  17.5688	  4.38845	  33.6396
#0001617	2018/05/21 10:30:25	17.06	 1.23883	0.089941	-0.823392	 5.71	17.95	17.497	 5.391	8.216113	8.728809	 0.0000	 1.0018	4835	496	296.952	99.589	17.584	  17.5640	  4.38789	  33.6387
#0001618	2018/05/21 11:00:25	17.06	 1.23868	0.089759	-0.823584	 5.73	17.95	17.501	 5.318	8.212922	8.725429	 0.0000	 0.9912	4835	496	295.276	99.043	17.592	  17.5749	  4.38935	  33.6422
#0001619	2018/05/21 11:30:25	17.06	 1.23836	0.089741	-0.823601	 5.71	17.96	17.510	 5.220	8.212540	8.725028	 0.0000	 0.9925	4835	496	293.826	98.577	17.601	  17.5876	  4.39066	  33.6429
#0001620	2018/05/21 12:00:25	17.06	 1.23845	0.089409	-0.823908	 5.72	17.96	17.508	 5.078	8.206798	8.719748	 0.0000	 0.9957	4835	496	291.917	97.919	17.593	  17.5767	  4.38942	  33.6413
#0001621	2018/05/21 12:30:25	17.06	 1.23156	0.088367	-0.824859	 5.71	18.06	17.699	 4.998	8.186997	8.701011	 0.0000	 0.9878	4835	496	280.370	94.598	17.876	  17.9290	  4.42578	  33.6605
#0001622	2018/05/21 13:00:25	17.06	 1.22776	0.087959	-0.825214	 5.71	18.18	17.805	 4.901	8.178975	8.693613	 0.0000	 0.9746	4835	496	274.389	92.688	17.933	  17.9528	  4.42834	  33.6627
#0001623	2018/05/21 13:30:25	17.06	 1.22888	0.088475	-0.824669	 5.72	18.23	17.774	 4.711	8.188185	8.703413	 0.0000	 0.9699	4835	496	278.120	93.780	17.846	  17.8096	  4.41241	  33.6452
#0001624	2018/05/21 14:00:25	17.06	 1.22659	0.088050	-0.825064	 5.73	18.28	17.838	 4.663	8.180252	8.695816	 0.0000	 0.9675	4835	496	277.589	93.794	17.946	  17.9384	  4.42608	  33.6553
#0001625	2018/05/21 14:30:25	17.06	 1.22794	0.088070	-0.825028	 5.72	18.26	17.800	 4.512	8.180942	8.696891	 0.0000	 0.9745	4835	496	276.203	93.176	17.868	  17.8461	  4.41464	  33.6340
#0001626	2018/05/21 15:00:25	17.06	 1.22887	0.087964	-0.825133	 5.72	18.22	17.774	 4.390	8.179339	8.695374	 0.0000	 0.9751	4835	496	275.434	92.881	17.849	  17.8219	  4.41478	  33.6552
#0001627	2018/05/21 15:30:25	17.06	 1.22498	0.087466	-0.825586	 5.72	18.24	17.883	 4.294	8.169728	8.686251	 0.0000	 0.9740	4835	496	270.557	91.584	18.034	  18.1273	  4.44084	  33.6252
#0001628	2018/05/21 16:00:25	17.06	 1.22036	0.087315	-0.825664	 5.72	18.40	18.012	 4.274	8.165952	8.683388	 0.0000	 0.9597	4835	496	268.029	90.934	18.144	  18.1639	  4.44974	  33.6703
#0001629	2018/05/21 16:30:25	17.06	 1.22036	0.087336	-0.825647	 5.71	18.43	18.012	 4.186	8.166308	8.683691	 0.0000	 0.9627	4835	496	268.631	91.059	18.102	  18.0846	  4.44143	  33.6652
#0001630	2018/05/21 17:00:25	17.06	 1.21997	0.087176	-0.825765	 5.72	18.43	18.023	 4.137	8.163452	8.681523	 0.0000	 0.9558	4835	496	266.666	90.436	18.125	  18.1251	  4.44540	  33.6655
#0001631	2018/05/21 17:30:25	17.06	 1.22109	0.087114	-0.825840	 5.73	18.44	17.992	 4.111	8.162656	8.680592	 0.0000	 0.9590	4835	496	266.390	90.237	18.068	  18.0406	  4.43675	  33.6618
#0001632	2018/05/21 18:00:25	17.06	 1.22227	0.086546	-0.826453	 5.73	18.42	17.958	 4.112	8.153121	8.670368	 0.0000	 0.9541	4835	496	262.501	88.850	18.030	  18.0166	  4.43251	  33.6455
#0001633	2018/05/21 18:30:25	17.06	 1.22133	0.086567	-0.826405	 5.71	18.43	17.985	 4.150	8.153254	8.670885	 0.0000	 0.9525	4835	496	260.496	88.259	18.078	  18.0670	  4.43937	  33.6622
#0001634	2018/05/21 19:00:25	17.06	 1.21995	0.086977	-0.825993	 5.71	18.46	18.023	 4.195	8.159995	8.677571	 0.0000	 0.9498	4835	496	263.561	89.374	18.120	  18.1086	  4.44431	  33.6699
#0001635	2018/05/21 19:30:25	17.06	 1.21844	0.087251	-0.825707	 5.73	18.49	18.066	 4.277	8.164369	8.682020	 0.0000	 0.9507	4835	496	267.547	90.809	18.165	  18.1627	  4.44927	  33.6674
#0001636	2018/05/21 20:00:25	17.06	 1.22418	0.088733	-0.824304	 5.73	18.48	17.905	 4.441	8.191472	8.708188	 0.0000	 0.9538	4835	496	281.389	95.033	17.923	  17.8140	  4.41214	  33.6393
#0001637	2018/05/21 20:30:25	17.06	 1.23012	0.089606	-0.823543	 5.71	18.26	17.739	 4.556	8.208096	8.723323	 0.0000	 0.9734	4835	496	292.611	98.515	17.771	  17.7100	  4.40146	  33.6340
#0001638	2018/05/21 21:00:25	17.06	 1.23248	0.090267	-0.822950	 5.71	18.16	17.674	 4.685	8.220158	8.734387	 0.0000	 0.9757	4835	496	297.767	100.182	17.738	  17.7043	  4.40090	  33.6339
